text,label
Win an iPhone today! Enter now: http://secure-verify.net re: re:,1
We tried to deliver your package. Reschedule at http://secure-verify.net re:,1
Happy birthday! Have an awesome day.,0
URGENT: Your account will be suspended. Verify now at http://bit.ly/claim-now *limited* re:,1
Reminder: dentist appointment on Jan 15. re:,0
The meeting moved to 5:45. Calendar updated.,0
Win an iPhone today! Enter now: http://gift-claim.co FYI,1
Hey are we still meeting at 10:30?,0
Get 50% OFF on all items today only! Visit http://deal-today.shop,1
Hey are we still meeting at 10:30?,0
Earn money from home 1500/week. Sign up at http://bit.ly/claim-now,1
Final notice: Outstanding balance 199. Pay at http://promo-offer.com,1
Win an iPhone today! Enter now: http://secure-verify.net,1
Claim your FREE trial. No credit card required. http://deal-today.shop,1
The meeting moved to 10:30. Calendar updated.,0
Can you send me the report by 10:30?,0
"Thanks for the help yesterday, much appreciated!",0
URGENT: Your account will be suspended. Verify now at http://deal-today.shop re:,1
Get 70% OFF on all items today only! Visit http://deal-today.shop,1
Reminder: dentist appointment on Apr 1.,0
Congratulations! You've won a 499 gift card. Click http://deal-today.shop to claim. !!,1
Reminder: dentist appointment on Mar 22. re: re:,0
Congratulations! You've won a 1500 gift card. Click http://secure-verify.net to claim.,1
Congratulations! You've won a 999 gift card. Click http://win-now.app to claim. fwd:,1
Don't forget the team stand-up at 10:30.,0
Earn money from home 199/week. Sign up at http://secure-verify.net re: re:,1
Lunch plan today? Thinking Cafe Mocha. *limited*,0
"Thanks for the help yesterday, much appreciated!",0
"I'll be late by 20 mins, stuck in traffic.",0
Congratulations! You've won a 199 gift card. Click http://win-now.app to claim. fwd: re:,1
The meeting moved to 2 PM. Calendar updated.,0
We tried to deliver your package. Reschedule at http://deal-today.shop,1
We tried to deliver your package. Reschedule at http://promo-offer.com !! !!,1
Can you send me the report by 9:00?,0
Can you review the pull request when you get a chance?,0
Happy birthday! Have an awesome day. [AD] [AD],0
We tried to deliver your package. Reschedule at http://gift-claim.co,1
Can you send me the report by 10:30? re: !!,0
"Thanks for the help yesterday, much appreciated!",0
"I'll be late by 10 mins, stuck in traffic.",0
Happy birthday! Have an awesome day. re: fwd:,0
Lunch plan today? Thinking Food Court. FYI (info),0
You have been selected for a limited-time offer. Reply STOP to opt out. re:,1
Exclusive deal for you! 50% discount. http://win-now.app,1
Congratulations! You've won a 999 gift card. Click http://gift-claim.co to claim. (info) (info),1
"Thanks for the help yesterday, much appreciated! !!",0
"Thanks for the help yesterday, much appreciated!",0
Can you send me the report by 2 PM? re:,0
Hey are we still meeting at 2 PM?,0
The meeting moved to 9:00. Calendar updated.,0
Get 40% OFF on all items today only! Visit http://deal-today.shop !!,1
"I'll be late by 5 mins, stuck in traffic.",0
Hey are we still meeting at 2 PM?,0
The meeting moved to 2 PM. Calendar updated.,0
Can you review the pull request when you get a chance?,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Final notice: Outstanding balance 1500. Pay at http://secure-verify.net,1
Win an iPhone today! Enter now: http://promo-offer.com re:,1
Get 30% OFF on all items today only! Visit http://secure-verify.net,1
The meeting moved to 10:30. Calendar updated.,0
Lunch plan today? Thinking Green Deli.,0
Can you send me the report by 5:45? (info) !!,0
The meeting moved to 5:45. Calendar updated.,0
Final notice: Outstanding balance 999. Pay at http://win-now.app (info) !!,1
Hey are we still meeting at 9:00?,0
Earn money from home 999/week. Sign up at http://promo-offer.com FYI,1
Lunch plan today? Thinking Cafe Mocha. !! fwd:,0
Win an iPhone today! Enter now: http://promo-offer.com,1
"Thanks for the help yesterday, much appreciated!",0
"Thanks for the help yesterday, much appreciated! !! fwd:",0
Earn money from home 199/week. Sign up at http://deal-today.shop (info) re:,1
Exclusive deal for you! 50% discount. http://bit.ly/claim-now (info),1
Congratulations! You've won a 199 gift card. Click http://promo-offer.com to claim. FYI,1
URGENT: Your account will be suspended. Verify now at http://gift-claim.co !! fwd:,1
Win an iPhone today! Enter now: http://deal-today.shop,1
Don't forget the team stand-up at 10:30. re:,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Final notice: Outstanding balance 999. Pay at http://deal-today.shop,1
Happy birthday! Have an awesome day.,0
We tried to deliver your package. Reschedule at http://gift-claim.co FYI,1
Can you review the pull request when you get a chance? FYI (info),0
You have been selected for a limited-time offer. Reply STOP to opt out. FYI,1
Don't forget the team stand-up at 5:45.,0
"I'll be late by 5 mins, stuck in traffic.",0
We tried to deliver your package. Reschedule at http://deal-today.shop,1
Final notice: Outstanding balance 1500. Pay at http://win-now.app,1
"Thanks for the help yesterday, much appreciated!",0
Final notice: Outstanding balance 1500. Pay at http://promo-offer.com *limited* re:,1
"I'll be late by 15 mins, stuck in traffic.",0
Claim your FREE trial. No credit card required. http://secure-verify.net,1
Hey are we still meeting at 2 PM? [AD],0
Win an iPhone today! Enter now: http://bit.ly/claim-now !!,1
URGENT: Your account will be suspended. Verify now at http://deal-today.shop,1
"I'll be late by 5 mins, stuck in traffic. FYI !!",0
Congratulations! You've won a 199 gift card. Click http://win-now.app to claim. fwd:,1
Get 30% OFF on all items today only! Visit http://secure-verify.net,1
We tried to deliver your package. Reschedule at http://bit.ly/claim-now,1
"Thanks for the help yesterday, much appreciated!",0
Can you review the pull request when you get a chance?,0
Happy birthday! Have an awesome day.,0
Win an iPhone today! Enter now: http://win-now.app !!,1
Don't forget the team stand-up at 5:45.,0
Claim your FREE trial. No credit card required. http://deal-today.shop !! re:,1
Can you review the pull request when you get a chance?,0
Get 70% OFF on all items today only! Visit http://promo-offer.com,1
"I'll be late by 10 mins, stuck in traffic. [AD]",0
Reminder: dentist appointment on Mar 22.,0
Can you send me the report by 10:30?,0
"Thanks for the help yesterday, much appreciated!",0
URGENT: Your account will be suspended. Verify now at http://bit.ly/claim-now FYI,1
Congratulations! You've won a 499 gift card. Click http://deal-today.shop to claim. fwd: re:,1
We tried to deliver your package. Reschedule at http://promo-offer.com [AD] re:,1
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Congratulations! You've won a 199 gift card. Click http://secure-verify.net to claim.,1
Hey are we still meeting at 2 PM? re:,0
Earn money from home 1500/week. Sign up at http://bit.ly/claim-now !! re:,1
We tried to deliver your package. Reschedule at http://bit.ly/claim-now FYI FYI,1
We tried to deliver your package. Reschedule at http://win-now.app (info) (info),1
"I'll be late by 20 mins, stuck in traffic.",0
The meeting moved to 9:00. Calendar updated.,0
Get 30% OFF on all items today only! Visit http://bit.ly/claim-now !! [AD],1
Lunch plan today? Thinking Cafe Mocha.,0
"I'll be late by 10 mins, stuck in traffic. fwd:",0
"Thanks for the help yesterday, much appreciated!",0
Earn money from home 999/week. Sign up at http://deal-today.shop,1
Can you review the pull request when you get a chance?,0
The meeting moved to 5:45. Calendar updated.,0
Reminder: dentist appointment on Mar 22.,0
Congratulations! You've won a 199 gift card. Click http://promo-offer.com to claim. *limited*,1
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Hey are we still meeting at 5:45?,0
Can you review the pull request when you get a chance?,0
Get 40% OFF on all items today only! Visit http://win-now.app,1
Earn money from home 999/week. Sign up at http://deal-today.shop (info) (info),1
The meeting moved to 10:30. Calendar updated.,0
The meeting moved to 9:00. Calendar updated. re:,0
Exclusive deal for you! 30% discount. http://gift-claim.co,1
Congratulations! You've won a 499 gift card. Click http://secure-verify.net to claim.,1
Congratulations! You've won a 199 gift card. Click http://bit.ly/claim-now to claim.,1
Can you review the pull request when you get a chance? [AD],0
Don't forget the team stand-up at 10:30.,0
We tried to deliver your package. Reschedule at http://gift-claim.co (info) (info),1
Hey are we still meeting at 2 PM?,0
Earn money from home 499/week. Sign up at http://bit.ly/claim-now,1
Reminder: dentist appointment on Apr 1.,0
URGENT: Your account will be suspended. Verify now at http://gift-claim.co (info) !!,1
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Exclusive deal for you! 30% discount. http://win-now.app !!,1
Lunch plan today? Thinking Cafe Mocha. !!,0
"Thanks for the help yesterday, much appreciated!",0
Exclusive deal for you! 50% discount. http://win-now.app,1
Lunch plan today? Thinking Office Canteen.,0
You have been selected for a limited-time offer. Reply STOP to opt out. [AD] (info),1
Exclusive deal for you! 70% discount. http://win-now.app,1
Claim your FREE trial. No credit card required. http://deal-today.shop,1
Final notice: Outstanding balance 1500. Pay at http://deal-today.shop,1
Get 70% OFF on all items today only! Visit http://promo-offer.com (info) *limited*,1
Congratulations! You've won a 999 gift card. Click http://win-now.app to claim.,1
Exclusive deal for you! 30% discount. http://deal-today.shop,1
Can you review the pull request when you get a chance?,0
"Thanks for the help yesterday, much appreciated!",0
Don't forget the team stand-up at 9:00.,0
"I'll be late by 5 mins, stuck in traffic.",0
Congratulations! You've won a 999 gift card. Click http://gift-claim.co to claim. re: *limited*,1
Final notice: Outstanding balance 199. Pay at http://win-now.app *limited* FYI,1
Lunch plan today? Thinking Cafe Mocha.,0
The meeting moved to 9:00. Calendar updated.,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
URGENT: Your account will be suspended. Verify now at http://promo-offer.com fwd:,1
We tried to deliver your package. Reschedule at http://promo-offer.com FYI,1
We tried to deliver your package. Reschedule at http://bit.ly/claim-now fwd: FYI,1
Final notice: Outstanding balance 999. Pay at http://win-now.app,1
"Thanks for the help yesterday, much appreciated!",0
Get 40% OFF on all items today only! Visit http://gift-claim.co,1
Hey are we still meeting at 2 PM? (info) !!,0
Hey are we still meeting at 9:00?,0
Claim your FREE trial. No credit card required. http://promo-offer.com,1
We tried to deliver your package. Reschedule at http://secure-verify.net,1
Final notice: Outstanding balance 499. Pay at http://gift-claim.co,1
You have been selected for a limited-time offer. Reply STOP to opt out. *limited* fwd:,1
Reminder: dentist appointment on Jan 15.,0
Earn money from home 199/week. Sign up at http://gift-claim.co,1
Get 70% OFF on all items today only! Visit http://gift-claim.co,1
Exclusive deal for you! 50% discount. http://deal-today.shop [AD],1
Don't forget the team stand-up at 9:00.,0
Get 40% OFF on all items today only! Visit http://win-now.app !! *limited*,1
Earn money from home 499/week. Sign up at http://deal-today.shop,1
Earn money from home 999/week. Sign up at http://deal-today.shop re:,1
Win an iPhone today! Enter now: http://promo-offer.com (info),1
Don't forget the team stand-up at 5:45.,0
Claim your FREE trial. No credit card required. http://bit.ly/claim-now FYI (info),1
The meeting moved to 10:30. Calendar updated. [AD],0
Get 50% OFF on all items today only! Visit http://promo-offer.com,1
Earn money from home 999/week. Sign up at http://win-now.app,1
Reminder: dentist appointment on Mar 22.,0
"I'll be late by 10 mins, stuck in traffic.",0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Can you send me the report by 9:00? [AD] (info),0
Happy birthday! Have an awesome day.,0
Earn money from home 499/week. Sign up at http://gift-claim.co [AD] *limited*,1
Hey are we still meeting at 2 PM?,0
The meeting moved to 9:00. Calendar updated.,0
"Thanks for the help yesterday, much appreciated! (info)",0
Exclusive deal for you! 70% discount. http://secure-verify.net fwd: !!,1
We tried to deliver your package. Reschedule at http://gift-claim.co,1
Hey are we still meeting at 9:00?,0
Exclusive deal for you! 30% discount. http://secure-verify.net *limited* *limited*,1
Final notice: Outstanding balance 1500. Pay at http://secure-verify.net (info),1
Earn money from home 999/week. Sign up at http://gift-claim.co,1
URGENT: Your account will be suspended. Verify now at http://secure-verify.net,1
Exclusive deal for you! 50% discount. http://secure-verify.net,1
Lunch plan today? Thinking Food Court.,0
Hey are we still meeting at 10:30? FYI,0
Hey are we still meeting at 9:00?,0
Congratulations! You've won a 999 gift card. Click http://secure-verify.net to claim. fwd:,1
URGENT: Your account will be suspended. Verify now at http://win-now.app,1
Don't forget the team stand-up at 9:00.,0
Can you review the pull request when you get a chance?,0
Congratulations! You've won a 499 gift card. Click http://secure-verify.net to claim.,1
Get 50% OFF on all items today only! Visit http://secure-verify.net,1
Final notice: Outstanding balance 999. Pay at http://secure-verify.net,1
Get 70% OFF on all items today only! Visit http://promo-offer.com (info) [AD],1
Don't forget the team stand-up at 5:45.,0
Lunch plan today? Thinking Green Deli.,0
Earn money from home 199/week. Sign up at http://bit.ly/claim-now,1
Win an iPhone today! Enter now: http://win-now.app FYI re:,1
Earn money from home 199/week. Sign up at http://gift-claim.co (info) fwd:,1
Reminder: dentist appointment on Jan 15.,0
Get 50% OFF on all items today only! Visit http://secure-verify.net *limited* re:,1
Don't forget the team stand-up at 2 PM.,0
Claim your FREE trial. No credit card required. http://bit.ly/claim-now,1
"I'll be late by 15 mins, stuck in traffic.",0
Can you send me the report by 9:00?,0
Exclusive deal for you! 50% discount. http://promo-offer.com FYI,1
Claim your FREE trial. No credit card required. http://deal-today.shop !!,1
Win an iPhone today! Enter now: http://secure-verify.net,1
Can you send me the report by 2 PM? !! *limited*,0
Can you send me the report by 9:00?,0
Can you send me the report by 9:00?,0
Claim your FREE trial. No credit card required. http://secure-verify.net fwd:,1
The meeting moved to 2 PM. Calendar updated.,0
Final notice: Outstanding balance 999. Pay at http://bit.ly/claim-now,1
Reminder: dentist appointment on Jan 15. !!,0
Win an iPhone today! Enter now: http://bit.ly/claim-now,1
The meeting moved to 5:45. Calendar updated.,0
Final notice: Outstanding balance 999. Pay at http://promo-offer.com [AD],1
Reminder: dentist appointment on Apr 1.,0
Claim your FREE trial. No credit card required. http://gift-claim.co re: FYI,1
Happy birthday! Have an awesome day.,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
URGENT: Your account will be suspended. Verify now at http://gift-claim.co (info),1
Hey are we still meeting at 10:30?,0
Exclusive deal for you! 30% discount. http://win-now.app (info),1
Happy birthday! Have an awesome day.,0
Claim your FREE trial. No credit card required. http://gift-claim.co re:,1
Don't forget the team stand-up at 2 PM.,0
Can you review the pull request when you get a chance?,0
Earn money from home 499/week. Sign up at http://secure-verify.net,1
You have been selected for a limited-time offer. Reply STOP to opt out.,1
You have been selected for a limited-time offer. Reply STOP to opt out. !! *limited*,1
Win an iPhone today! Enter now: http://deal-today.shop,1
Can you send me the report by 2 PM?,0
Get 50% OFF on all items today only! Visit http://promo-offer.com fwd:,1
Earn money from home 499/week. Sign up at http://deal-today.shop,1
Hey are we still meeting at 10:30?,0
Can you review the pull request when you get a chance?,0
Congratulations! You've won a 999 gift card. Click http://gift-claim.co to claim. *limited* FYI,1
Win an iPhone today! Enter now: http://win-now.app FYI !!,1
Hey are we still meeting at 9:00?,0
You have been selected for a limited-time offer. Reply STOP to opt out. (info),1
We tried to deliver your package. Reschedule at http://win-now.app,1
Happy birthday! Have an awesome day.,0
Get 30% OFF on all items today only! Visit http://deal-today.shop,1
Congratulations! You've won a 1500 gift card. Click http://secure-verify.net to claim. [AD] FYI,1
"Thanks for the help yesterday, much appreciated!",0
Get 50% OFF on all items today only! Visit http://win-now.app FYI re:,1
"I'll be late by 20 mins, stuck in traffic.",0
"Thanks for the help yesterday, much appreciated!",0
Can you review the pull request when you get a chance? *limited*,0
"Thanks for the help yesterday, much appreciated!",0
URGENT: Your account will be suspended. Verify now at http://secure-verify.net fwd: [AD],1
You have been selected for a limited-time offer. Reply STOP to opt out. *limited* *limited*,1
Can you send me the report by 9:00? *limited*,0
Reminder: dentist appointment on Mar 22.,0
Final notice: Outstanding balance 499. Pay at http://deal-today.shop fwd:,1
Can you review the pull request when you get a chance?,0
Can you send me the report by 2 PM?,0
Don't forget the team stand-up at 5:45.,0
Claim your FREE trial. No credit card required. http://promo-offer.com FYI,1
"Thanks for the help yesterday, much appreciated! [AD]",0
"I'll be late by 5 mins, stuck in traffic.",0
Happy birthday! Have an awesome day.,0
The meeting moved to 5:45. Calendar updated. (info) *limited*,0
Final notice: Outstanding balance 199. Pay at http://deal-today.shop,1
Final notice: Outstanding balance 499. Pay at http://promo-offer.com,1
We tried to deliver your package. Reschedule at http://bit.ly/claim-now,1
Reminder: dentist appointment on Feb 3.,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Can you send me the report by 10:30?,0
"I'll be late by 5 mins, stuck in traffic.",0
Hey are we still meeting at 5:45?,0
Can you review the pull request when you get a chance?,0
Don't forget the team stand-up at 10:30.,0
Can you review the pull request when you get a chance? re: *limited*,0
Lunch plan today? Thinking Green Deli.,0
You have been selected for a limited-time offer. Reply STOP to opt out. FYI,1
Earn money from home 499/week. Sign up at http://deal-today.shop,1
Can you send me the report by 10:30?,0
Hey are we still meeting at 5:45?,0
Can you send me the report by 2 PM?,0
Congratulations! You've won a 1500 gift card. Click http://bit.ly/claim-now to claim.,1
We tried to deliver your package. Reschedule at http://promo-offer.com,1
Can you send me the report by 5:45?,0
Can you send me the report by 2 PM? (info) (info),0
"I'll be late by 20 mins, stuck in traffic. [AD] fwd:",0
Final notice: Outstanding balance 1500. Pay at http://bit.ly/claim-now,1
Congratulations! You've won a 499 gift card. Click http://promo-offer.com to claim.,1
Can you send me the report by 10:30?,0
Hey are we still meeting at 10:30?,0
Exclusive deal for you! 40% discount. http://gift-claim.co *limited*,1
Final notice: Outstanding balance 999. Pay at http://promo-offer.com [AD],1
Reminder: dentist appointment on Feb 3.,0
Can you review the pull request when you get a chance?,0
URGENT: Your account will be suspended. Verify now at http://win-now.app,1
The meeting moved to 9:00. Calendar updated.,0
Can you review the pull request when you get a chance?,0
Reminder: dentist appointment on Apr 1.,0
Don't forget the team stand-up at 9:00.,0
Congratulations! You've won a 199 gift card. Click http://deal-today.shop to claim.,1
Congratulations! You've won a 1500 gift card. Click http://bit.ly/claim-now to claim. *limited*,1
Claim your FREE trial. No credit card required. http://promo-offer.com (info),1
"Thanks for the help yesterday, much appreciated!",0
Can you send me the report by 2 PM? !! !!,0
"Thanks for the help yesterday, much appreciated!",0
We tried to deliver your package. Reschedule at http://deal-today.shop,1
Get 50% OFF on all items today only! Visit http://secure-verify.net !! fwd:,1
Congratulations! You've won a 199 gift card. Click http://gift-claim.co to claim. [AD],1
Congratulations! You've won a 199 gift card. Click http://gift-claim.co to claim. re:,1
Don't forget the team stand-up at 10:30.,0
"Thanks for the help yesterday, much appreciated! (info)",0
Lunch plan today? Thinking Cafe Mocha.,0
Lunch plan today? Thinking Green Deli.,0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
"I'll be late by 5 mins, stuck in traffic.",0
"I'll be late by 20 mins, stuck in traffic.",0
"I'll be late by 15 mins, stuck in traffic.",0
"I'll be late by 5 mins, stuck in traffic. *limited*",0
The meeting moved to 2 PM. Calendar updated.,0
Congratulations! You've won a 1500 gift card. Click http://gift-claim.co to claim.,1
Win an iPhone today! Enter now: http://promo-offer.com [AD] !!,1
We tried to deliver your package. Reschedule at http://win-now.app,1
Hey are we still meeting at 2 PM?,0
URGENT: Your account will be suspended. Verify now at http://bit.ly/claim-now,1
Get 50% OFF on all items today only! Visit http://secure-verify.net,1
We tried to deliver your package. Reschedule at http://deal-today.shop,1
The meeting moved to 10:30. Calendar updated.,0
Hey are we still meeting at 10:30?,0
Get 50% OFF on all items today only! Visit http://win-now.app (info) FYI,1
Don't forget the team stand-up at 9:00.,0
URGENT: Your account will be suspended. Verify now at http://promo-offer.com,1
Win an iPhone today! Enter now: http://promo-offer.com !! !!,1
Lunch plan today? Thinking Food Court.,0
"Thanks for the help yesterday, much appreciated! !! [AD]",0
Earn money from home 499/week. Sign up at http://deal-today.shop,1
Win an iPhone today! Enter now: http://gift-claim.co,1
You have been selected for a limited-time offer. Reply STOP to opt out. fwd: (info),1
Reminder: dentist appointment on Apr 1.,0
"Thanks for the help yesterday, much appreciated!",0
Reminder: dentist appointment on Apr 1.,0
Win an iPhone today! Enter now: http://win-now.app,1
Congratulations! You've won a 199 gift card. Click http://win-now.app to claim. re:,1
Congratulations! You've won a 499 gift card. Click http://secure-verify.net to claim.,1
Can you review the pull request when you get a chance?,0
Can you review the pull request when you get a chance? *limited* FYI,0
Final notice: Outstanding balance 499. Pay at http://promo-offer.com !!,1
"Thanks for the help yesterday, much appreciated! *limited* [AD]",0
Final notice: Outstanding balance 199. Pay at http://secure-verify.net *limited* FYI,1
Win an iPhone today! Enter now: http://promo-offer.com,1
The meeting moved to 2 PM. Calendar updated. FYI FYI,0
"Thanks for the help yesterday, much appreciated! re: re:",0
Can you send me the report by 2 PM? *limited* *limited*,0
Reminder: dentist appointment on Feb 3.,0
We tried to deliver your package. Reschedule at http://promo-offer.com,1
Final notice: Outstanding balance 1500. Pay at http://secure-verify.net,1
Lunch plan today? Thinking Cafe Mocha.,0
Earn money from home 1500/week. Sign up at http://secure-verify.net,1
The meeting moved to 2 PM. Calendar updated. re: re:,0
Hey are we still meeting at 10:30?,0
We tried to deliver your package. Reschedule at http://bit.ly/claim-now *limited*,1
"I'll be late by 10 mins, stuck in traffic. fwd: [AD]",0
Congratulations! You've won a 499 gift card. Click http://gift-claim.co to claim. [AD] FYI,1
Can you send me the report by 9:00?,0
Reminder: dentist appointment on Feb 3.,0
Final notice: Outstanding balance 999. Pay at http://gift-claim.co,1
We tried to deliver your package. Reschedule at http://secure-verify.net re: re:,1
Earn money from home 199/week. Sign up at http://secure-verify.net !! [AD],1
Final notice: Outstanding balance 1500. Pay at http://bit.ly/claim-now,1
Can you review the pull request when you get a chance?,0
Happy birthday! Have an awesome day.,0
Hey are we still meeting at 5:45? FYI fwd:,0
"I'll be late by 20 mins, stuck in traffic.",0
URGENT: Your account will be suspended. Verify now at http://secure-verify.net (info),1
Claim your FREE trial. No credit card required. http://promo-offer.com fwd: (info),1
Congratulations! You've won a 1500 gift card. Click http://gift-claim.co to claim.,1
Reminder: dentist appointment on Jan 15.,0
Reminder: dentist appointment on Feb 3. [AD],0
Final notice: Outstanding balance 199. Pay at http://promo-offer.com fwd:,1
Claim your FREE trial. No credit card required. http://bit.ly/claim-now (info) !!,1
Happy birthday! Have an awesome day.,0
"Thanks for the help yesterday, much appreciated!",0
You have been selected for a limited-time offer. Reply STOP to opt out.,1
You have been selected for a limited-time offer. Reply STOP to opt out. re:,1
We tried to deliver your package. Reschedule at http://win-now.app,1
"I'll be late by 15 mins, stuck in traffic.",0
Final notice: Outstanding balance 499. Pay at http://promo-offer.com,1
Don't forget the team stand-up at 2 PM.,0
Happy birthday! Have an awesome day. fwd: !!,0
Hey are we still meeting at 10:30? !!,0
Don't forget the team stand-up at 5:45.,0
Earn money from home 1500/week. Sign up at http://bit.ly/claim-now !! fwd:,1
Can you send me the report by 10:30?,0
Earn money from home 199/week. Sign up at http://gift-claim.co,1
Happy birthday! Have an awesome day. [AD],0
Reminder: dentist appointment on Jan 15. re:,0
Hey are we still meeting at 2 PM?,0
Earn money from home 499/week. Sign up at http://win-now.app,1
"I'll be late by 15 mins, stuck in traffic.",0
Win an iPhone today! Enter now: http://deal-today.shop,1
Don't forget the team stand-up at 10:30.,0
Hey are we still meeting at 9:00? !! FYI,0
Can you review the pull request when you get a chance? !! !!,0
Earn money from home 199/week. Sign up at http://promo-offer.com,1
You have been selected for a limited-time offer. Reply STOP to opt out. [AD] fwd:,1
Lunch plan today? Thinking Green Deli.,0
Exclusive deal for you! 50% discount. http://gift-claim.co,1
"I'll be late by 10 mins, stuck in traffic.",0
Win an iPhone today! Enter now: http://secure-verify.net,1
You have been selected for a limited-time offer. Reply STOP to opt out.,1
Claim your FREE trial. No credit card required. http://bit.ly/claim-now,1
Win an iPhone today! Enter now: http://deal-today.shop,1
Your package is ready for pickup at the front desk.,0
Promo meeting scheduled at 2 PM. Agenda attached.,0
Limited seats available for the workshop. Register by Jan 15.,0
Verify your email to continue using the service.,1
